2021-12,Mo,Tu,We,Th,Fr,Sa,Su,Notes
,29*,30*,1,2,3,4,5,
ATLAS-MUON-PHASE2,2.00,3.50,4.00,4.00,1.00,0,0,Firmware; Firmware timing; Hog Meeting; Meeting
CMS-EMU-UPGRADE-ME0,0,1.50,0,1.00,0,0,0,Chloe; Meeting
CMS-EMU-OPS-GE11,1.00,0,0,0,0,0,0,Afterpulsing
CMS-ETL,0,2.50,1.00,0,0,0,0,Meeting; Mockup + teststand; Tip meeting
SICK,4.00,0,0,0,0,0,0,Neck spasm
CMS-EMU-UPGRADE-GE21,0.50,0,1.00,0,0,0,0,Afterpulsing; Workshop
CMS-PIXEL-DTC,0,0,2.00,0,1.00,0,0,IPMC Firmware; Meeting
DEVEL,0,0,0,3.00,4.00,0,0,Cleanup EDF
,6,7,8,9,10,11,12,
CMS-EMU-UPGRADE-GE21,0,2.00,3.50,0,0,0,0,GBT Firmware
ATLAS-MUON-PHASE2,1.00,5.50,4.50,2.00,4.00,6.00,0,CM Review; Firmware; SL Review; Schematic review
CMS-ETL,0,0.50,0,1.00,0,0,0,Meet w/ Daniel; Meeting
CMS-EMU-UPGRADE-ME0,0,0,0,1.50,1.00,0,0,Chloe; Meeting; Pinout check
CMS-EMU-OPS-GE11,1.00,1.00,0,0,0,0,0,Clocking update; MGT updates
SICK,6.00,0,0,0,0,0,0,Back pain
APOLLO,0,0,0,1.00,0,0,0,IPMC Meeting
,13,14,15,16,17,18,19,
CMS-EMU-UPGRADE-GE21,1.50,1.50,2.00,1.00,1.50,0,0,Firmware updates; OH Timing; Phase2 Planning; Timing constraints; USCMS Meeting
ATLAS-MUON-PHASE2,2.50,2.00,2.00,4.00,2.00,0,0,Firmware; Firmware (TAR/HPS split); HPTD Meeting; Meeting
CMS-ETL,0,2.00,0,2.00,0,0,0,Assembly meeting; HPTD Meeting; Meet with Daniel
DEVEL,0,0,0,0,2.00,0,0,EDF Cleanup
CMS-EMU-UPGRADE-ME0,0,0,0,1.00,1.00,0,0,Meeting; Phase2 Planning
CMS-EMU-OPS-GE11,1.00,3.00,0,0,1.00,0,0,4g firmware; Firmware; OH Timing; Timing constraints
ADMIN,3.00,0,0,0,0,0,0,Holiday Party
,20,21,22,23,24,25,26,
CMS-EMU-UPGRADE-GE21,1.00,0,2.00,0,0,0,0,Firmware
ATLAS-MUON-PHASE2,3.00,0,3.00,0,0,0,0,Firmware
CMS-EMU-OPS-GE11,3.00,2.00,0,0,0,0,0,Firmware; Firmware (4g link)
HOLIDAY,0,0,8.00,8.00,8.00,0,0,Christmas
,27,28,29,30,31,1*,2*,
HOLIDAY,8.00,8.00,8.00,8.00,8.00,0,0,Christmas

